Num,Id,Request,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,AVERAGE,AVERAGE_EN,AVERAGE_CH
601,218069,Thanks! What type of documentation do you want u2014 an explanation of using the notes feature?,0,,,4,,,,,2,,,,2,,0,,,,12,,,,,,,,,,,8,,-12,,,2,,,,,1,,,,4,,,,2,,3,0,0.415035388,blank,blank,0.960611669,blank,blank,blank,blank,0.152173986,blank,blank,blank,1.368971501,blank,0.119170805,blank,blank,blank,3.321202605,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1.993519292,blank,-3.590721994,blank,blank,0.552641679,blank,blank,blank,blank,0.296660772,blank,blank,blank,0.88791893,blank,blank,blank,0.787531746,blank,0.663921937,0.292595309,0.587230973,1.184426113,0.235508459
602,629241,"I'll unblock you if you give me some confirmation you've understood this and you are prepared to discuss the article through the proper channels, calmly and politely. So, cool down please, okay?",-8,,,-2,,,,,-4,,,,-3,,0,,,,-3,,,,,,,,,,,-11,,-2,,,-6,,,,,-6,,,,-3,,,,2,,0,-8,-1.136498772,blank,blank,-0.49119438,blank,blank,blank,blank,-1.39535808,blank,blank,blank,-1.986350805,blank,0.119170805,blank,blank,blank,-1.207710038,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-1.606658123,blank,-0.866725999,blank,blank,-1.691933756,blank,blank,blank,blank,-3.039557086,blank,blank,blank,-1.618716404,blank,blank,blank,0.787531746,blank,-0.132784387,-1.066886826,-1.095262293,-0.992288499,-1.154466354
603,557162,"I thought you had done that, and started working on turning it into a disambiguation page. Could you now graft the history on to the changes I made?",-5,,,-2,,,,,-4,,,,-2,,0,,,,5,,,,,,,,,,,2,,1,,,-2,,,,,-1,,,,1,,,,2,,3,-12,-0.554673462,blank,blank,-0.49119438,blank,blank,blank,blank,-1.39535808,blank,blank,blank,-1.315286344,blank,0.119170805,blank,blank,blank,1.207710038,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.856621161,blank,-0.0495272,blank,blank,-0.569646038,blank,blank,blank,blank,-0.65654433,blank,blank,blank,-0.186353356,blank,blank,blank,0.787531746,blank,0.663921937,-1.746627893,-0.237875385,-0.374991592,-0.112577997
604,621507,"He's returned to the same trolling he was doing years ago. If he really wants to edit in good faith, why not insist he make some non-controversial edits for a while instead of immediately restarting a two year old edit war?",-3,,,0,,,,,-6,,,,-2,,0,,,,0,,,,,,,,,,,-4,,-4,,,-3,,,,,-1,,,,0,,,,0,,-3,-5,-0.166789922,blank,blank,-0.00725903,blank,blank,blank,blank,-1.911202102,blank,blank,blank,-1.315286344,blank,0.119170805,blank,blank,blank,-0.30192751,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-0.28027697,blank,-1.411525198,blank,blank,-0.850217968,blank,blank,blank,blank,-0.65654433,blank,blank,blank,-0.544444118,blank,blank,blank,-0.227969716,blank,-0.929490711,-0.557081025,-0.645774581,-0.683300836,-0.682193755
605,347553,Thanks for help! One more question: similar item at this address is a painting: <url> Do I use the same tags?,-2,,,4,,,,,4,,,,3,,0,,,,11,,,,,,,,,,,2,,6,,,1,,,,,2,,,,3,,,,3,,2,-1,0.027151848,blank,blank,0.960611669,blank,blank,blank,blank,0.668018009,blank,blank,blank,2.040035962,blank,0.119170805,blank,blank,blank,3.019275095,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.856621161,blank,1.312470798,blank,blank,0.27206975,blank,blank,blank,blank,0.773263323,blank,blank,blank,0.529828168,blank,blank,blank,1.295282477,blank,0.398353162,0.122660042,0.885343733,1.361422308,0.69506861
606,488320,"Hi, we worked on a few Australian-related articles together. May be you want to make a look on my <url>?",-7,,,2,,,,,1,,,,0,,0,,,,3,,,,,,,,,,,0,,2,,,-1,,,,,2,,,,-1,,,,2,,-4,5,-0.942557002,blank,blank,0.476676319,blank,blank,blank,blank,-0.105748025,blank,blank,blank,0.026842578,blank,0.119170805,blank,blank,blank,0.603855019,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.477655118,blank,0.2228724,blank,blank,-0.289074109,blank,blank,blank,blank,0.773263323,blank,blank,blank,-0.90253488,blank,blank,blank,0.787531746,blank,-1.195059486,1.142271643,0.085368961,0.224159339,0.127115719
607,619476,"Well, as you <name> my standards for OR a bit strict, as the recent discussion on the policy's talk page shows. Secondly, do you not find it interesting that Arrow only removes Muhammad (who is sourced), but does not remove Archimedes who is unsourced?",-1,,,-6,,,,,-9,,,,-1,,0,,,,-1,,,,,,,,,,,-4,,-4,,,-5,,,,,1,,,,-3,,,,-1,,-6,-5,0.221093618,blank,blank,-1.459065079,blank,blank,blank,blank,-2.684968135,blank,blank,blank,-0.644221883,blank,0.119170805,blank,blank,blank,-0.603855019,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-0.28027697,blank,-1.411525198,blank,blank,-1.411361827,blank,blank,blank,blank,0.296660772,blank,blank,blank,-1.618716404,blank,blank,blank,-0.735720447,blank,-1.726197035,-0.557081025,-0.892575988,-1.054587862,-0.930527267
608,385875,"You are talking about direktor, right? He begin the edit war again, as seen by diffs, so C was blocked instead of direktor, see?",-10,,,-2,,,,,0,,,,1,,0,,,,3,,,,,,,,,,,-2,,-3,,,-3,,,,,-2,,,,-1,,,,-2,,-2,-8,-1.524382312,blank,blank,-0.49119438,blank,blank,blank,blank,-0.363670036,blank,blank,blank,0.69790704,blank,0.119170805,blank,blank,blank,0.603855019,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.098689074,blank,-1.139125598,blank,blank,-0.850217968,blank,blank,blank,blank,-1.133146882,blank,blank,blank,-0.90253488,blank,blank,blank,-1.243471178,blank,-0.663921937,-1.066886826,-0.561352147,0.11321369,-0.862577024
609,420251,"I certainly think more things should be deleted from enwiki, but TheCommunity(tm) is fickle. Are you complaining about something ''I'' did?",-10,,,-4,,,,,-4,,,,-1,,0,,,,-2,,,,,,,,,,,-6,,-2,,,-5,,,,,-2,,,,-2,,,,-2,,-11,-9,-1.524382312,blank,blank,-0.975129729,blank,blank,blank,blank,-1.39535808,blank,blank,blank,-0.644221883,blank,0.119170805,blank,blank,blank,-0.905782529,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-0.659243014,blank,-0.866725999,blank,blank,-1.411361827,blank,blank,blank,blank,-1.133146882,blank,blank,blank,-1.260625642,blank,blank,blank,-1.243471178,blank,-3.054040908,-1.236822093,-1.156510091,-0.760264283,-1.358179693
610,263166,"Thanks for the copyedit. Rather than waiting for the PR rigamarole, do you think it meets GA criteria and should I submit it?",0,,,4,,,,,3,,,,3,,0,,,,0,,,,,,,,,,,-1,,9,,,1,,,,,2,,,,4,,,,2,,5,-1,0.415035388,blank,blank,0.960611669,blank,blank,blank,blank,0.410095998,blank,blank,blank,2.040035962,blank,0.119170805,blank,blank,blank,-0.30192751,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.288172096,blank,2.129669597,blank,blank,0.27206975,blank,blank,blank,blank,0.773263323,blank,blank,blank,0.88791893,blank,blank,blank,0.787531746,blank,1.195059486,0.122660042,0.721383377,0.645597385,0.807043121
