Num,Id,Request#,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,
1,448758,Answered at <url>. Maybe you are not familiar with the expression?#,"4: Maybe,5: you,6: are,7: not,8: familiar",,"4: Maybe,5: you,6: are,7: not,8: familiar,9: with,10: the,11: expression?","4: Maybe,5: you,6: are,7: not",,,"4: Maybe,5: you,6: are,7: not,8: familiar","8: familiar,9: with,10: the",,"4: Maybe,5: you,6: are,7: not",,,,,"4: Maybe,5: you,6: are,7: not,8: familiar,9: with,10: the,11: expression?","5: you,6: are,7: not,8: familiar",4: Maybe,,4: Maybe,,,,,,"4: Maybe,5: you,6: are,7: not,8: familiar,9: with,10: the,11: expression?",8: familiar,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,367359,"Btw, ignoring the London stations it looks like your bot has <url>. Has this happened elsewhere?#","13: Has,14: this,15: happened,16: elsewhere?","2: ignoring,13: Has,14: this,15: happened,16: elsewhere?","1: Btw,,2: ignoring",,,,"13: Has,14: this,15: happened,16: elsewhere?","13: Has,14: this,15: happened,16: elsewhere?","1: Btw,",,,,,,,"13: Has,14: this,15: happened,16: elsewhere?","1: Btw,",,,"1: Btw,",,"7: looks,8: like",,,,,"1: Btw,",,,,,7: looks,,,0,,,,,,,,,,,,,,,,,,,,
3,622653,Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?#,"5: encylopaedia,14: Why,15: do,16: you,17: keep,18: abusing,19: it?","14: Why,15: do,16: you,17: keep,18: abusing,19: it?","14: Why,15: do,16: you,17: keep",,"14: Why,15: do,16: you,17: keep,18: abusing,19: it?","14: Why,15: do,16: you,17: keep,18: abusing,19: it?","14: Why,15: do,16: you,17: keep,18: abusing,19: it?",,"14: Why,15: do,16: you,17: keep,18: abusing,19: it?",18: abusing,,8: free,,"14: Why,17: keep,18: abusing",,,,"14: Why,15: do,16: you,17: keep,18: abusing,19: it?",5: encylopaedia,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,350825,"'Images with iconic status or historical importance: As subjects of commentary.''. Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?#","12: Listen,,13: it's,14: just,15: trivial,16: to,17: look,18: up,,19: could,20: you,21: take,22: the,23: care,24: of,25: actually","15: trivial,16: to,17: look,18: up,,19: could,20: you,21: take,22: the,23: care,24: of,25: actually,26: reading,27: these,28: policies,29: before,30: arguing,31: over,32: them?","12: Listen,,13: it's,14: just,15: trivial,16: to,17: look,18: up,,24: of,25: actually,26: reading","13: it's,14: just,15: trivial,16: to,17: look,18: up,,19: could,20: you,21: take,22: the,23: care,24: of,25: actually,26: reading","12: Listen,,13: it's,14: just,15: trivial,16: to,17: look,18: up,,19: could,20: you,21: take,22: the,23: care,24: of,25: actually,26: reading,27: these,28: policies,29: before,30: arguing,31: over,32: them?","12: Listen,,13: it's,14: just,15: trivial,19: could,20: you,21: take,22: the,23: care,24: of,25: actually,26: reading,27: these,28: policies,29: before,30: arguing,31: over,32: them?","12: Listen,,13: it's,14: just,15: trivial,16: to,17: look,18: up,,19: could,20: you,21: take,22: the,23: care,24: of,25: actually,26: reading,27: these,28: policies,29: before,30: arguing,31: over,32: them?","12: Listen,,17: look,18: up,,21: take,22: the,23: care,24: of","1: ""''Images","12: Listen,,15: trivial,25: actually,29: before",,"12: Listen,",,,,14: just,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,348828,"May I also ask how CheckUser became involved in the matter? To justify such a use of computer records, surely someone needs to invoke a due process of some kind for the action to be justified?#","1: May,2: I,3: also,4: ask,36: justified?",,"1: May,2: I,3: also,4: ask,20: surely","20: surely,21: someone",,,"20: surely,21: someone,22: needs,23: to,24: invoke,25: a,26: due,27: process","1: May,2: I,3: also,4: ask",,"1: May,2: I,3: also,4: ask",,,,,"12: To,13: justify,14: such,15: a,16: use,17: of,18: computer,19: records,,20: surely,21: someone,22: needs","1: May,13: justify,24: invoke",1:00 AM,,"1: May,20: surely",,,,,"1: May,2: I,3: also,4: ask,5: how",,"10: the,21: someone,29: some",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,143,"Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?#","1: Good,2: work,9: do,10: you,11: think",,"1: Good,2: work,3: on,4: the,5: canal,6: junctions!,7: Where,8: appropriate,","1: Good,2: work,3: on,4: the,5: canal,6: junctions!","1: Good,2: work,3: on,4: the,5: canal,6: junctions!","1: Good,2: work,3: on,4: the,5: canal,6: junctions!","1: Good,2: work,9: do,10: you,11: think,12: we",,,"1: Good,2: work",,,,"8: appropriate,,9: do,10: you,11: think",1: Good,,"1: Good,7: Where,8: appropriate,,11: think",,"1: Good,2: work",,,,16: nearest,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,297566,What is a wall these days? 10 sentences?#,1: What,,,,,"7: 10,8: sentences?",,,"1: What,2: is,3: a,4: wall",,,"1: What,2: is,3: a,4: wall,5: these,6: days?,7: 10,8: sentences?","7: 10,8: sentences?",,,1: What,,,,,,,"1: What,2: is,3: a,4: wall,5: these",,"1: What,2: is,7: 10,8: sentences?",8: sentences?,"5: these,6: days?",,,,,"1: What,7: 10,8: sentences?",,,"7: 10,8: sentences?",,0,,,,,,,,,,,,,,,,,,
8,550560,"I see a ""remove protection"" tab on the <url>, which tells an admin that the article is protected. Are you still able to edit it?#","19: Are,20: you,21: still,22: able",,"19: Are,20: you,21: still,22: able,23: to,24: edit,25: it?","19: Are,20: you,21: still",,,"19: Are,20: you,21: still,22: able","19: Are,20: you,21: still,22: able,23: to,24: edit,25: it?","19: Are,20: you,21: still,22: able",,,,"19: Are,20: you,21: still,22: able,23: to,24: edit,25: it?","10: which,11: tells,22: able,23: to",21: still,,"21: still,22: able",,,,,"2: see,19: Are",,,,20: you,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,354110,"Why delete the page <url> with no explanation, as an act of deliberate vandalism? Why did you do it?#","1: Why,2: delete,13: deliberate,14: vandalism?,15: Why,16: did,17: you,18: do,19: it?","7: no,8: explanation,,15: Why,16: did,17: you,18: do","1: Why,2: delete,15: Why",,,"1: Why,2: delete,6: with,7: no,8: explanation,,13: deliberate,14: vandalism?","1: Why,2: delete,3: the,4: page,5: <url>,6: with,7: no,8: explanation,,9: as,10: an,11: act,12: of,13: deliberate,14: vandalism?,15: Why,16: did,17: you,18: do,19: it?","1: Why,9: as,10: an,11: act,12: of,13: deliberate,14: vandalism?,15: Why,16: did,17: you,18: do,19: it?","15: Why,16: did,17: you,18: do,19: it?",,"1: Why,2: delete,15: Why,16: did,17: you,18: do,19: it?",7: no,,"1: Why,7: no,8: explanation,,15: Why",,,"1: Why,2: delete,15: Why,16: did,17: you,18: do,19: it?",14: vandalism?,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,622398,"Thanks a ton for looking that up for me. For the purposes of a citation, what are the page numbers for the whole article?#","1: Thanks,2: a,3: ton",,,"1: Thanks,2: a,3: ton,4: for,5: looking,6: that,7: up,8: for,9: me.","1: Thanks,2: a,3: ton",,,"1: Thanks,2: a,3: ton",,"1: Thanks,2: a,3: ton,4: for,5: looking,6: that,7: up,8: for,9: me.","1: Thanks,2: a,3: ton",,,,,"1: Thanks,2: a,3: ton,4: for,5: looking,6: that,7: up,8: for,9: me.","2: a,3: ton",,1: Thanks,"1: Thanks,2: a,3: ton",,,,"1: Thanks,2: a,3: ton",,,23: whole,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,521809,Is this okay? Or OTT?#,5: OTT?,,,"1: Is,2: this,3: okay?,4: Or,5: OTT?",4: Or,,,,"1: Is,2: this,3: okay?",,,,,"1: Is,2: this,3: okay?",,,,"1: Is,2: this,3: okay?",3: okay?,,,,,,,,,,,,,5: OTT?,3: okay?,,,,,,"1: Is,2: this,3: okay?",5: OTT?,,,,5: OTT?,,0,,,,,,,,,
12,388839,"Hi, <name>, I was just wondering why you did <url>. If in your opinion that text shouldn't be there, why not just delete it completely?#","1: Hi,,2: <name>,,3: I,4: was,5: just,6: wondering,7: why,12: in,13: your,14: opinion,20: why,21: not","1: Hi,,2: <name>,,5: just,6: wondering,12: in,13: your,14: opinion,20: why,21: not,22: just,23: delete,24: it,25: completely?","3: I,4: was,5: just,6: wondering,7: why,8: you,9: did,20: why,21: not,22: just,23: delete,24: it,25: completely?","1: Hi,,5: just,6: wondering",,,,,"1: Hi,,2: <name>,,3: I,4: was,5: just,6: wondering,7: why,8: you,9: did","6: wondering,7: why,8: you,9: did","1: Hi,,6: wondering",,,,,,,,,,,,"7: why,8: you,9: did,20: why,21: not","1: Hi,,22: just",,,,,"4: was,5: just,6: wondering","3: I,4: was,5: just,6: wondering",17: shouldn't,0,,,,,,,,,,,,,,,,,,,,,,,
13,206259,"Also, both <url> and <url> wikilink ""hiatus"", which goes to a disambiguation page. What meaning of the word did you intend?#","14: What,15: meaning,19: did,20: you,21: intend?","1: Also,,14: What,15: meaning,16: of,17: the,18: word,19: did,20: you,21: intend?","1: Also,,14: What,15: meaning,16: of,17: the,18: word,19: did,20: you,21: intend?","20: you,21: intend?",,,,,,"14: What,15: meaning,16: of,17: the,18: word,19: did,20: you,21: intend?","18: word,19: did,20: you,21: intend?","1: Also,",,,,,,,,,,,,,19: did,14: What,,,,,,"12: disambiguation,14: What,21: intend?",21: intend?,,,"1: Also,,2: both,3: <url>,4: and,5: <url>,6: wikilink,7: ""hiatus"",,8: which,9: goes,10: to,11: a,12: disambiguation,13: page.",0,,,,,,,,,,,,,,,,,,
14,394910,"I am puzzled by your ""fixing"" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather than ''after'' the binomial coefficient?#","6: ""fixing""",,"3: puzzled,6: ""fixing"",13: Why,14: do,15: you,16: consider,17: it,18: important,22: ''before'',25: ''after''","1: I,2: am,3: puzzled,5: your,6: ""fixing""","1: I,2: am,3: puzzled,5: your,6: ""fixing""",,,,"1: I,2: am,3: puzzled,4: by,5: your,6: ""fixing"",7: of,8: the,9: recursion,10: formula","27: binomial,28: coefficient?",3: puzzled,,,,,,,,,,,,"3: puzzled,13: Why,14: do","3: puzzled,13: Why",,,,,"3: puzzled,4: by,5: your","6: ""fixing"",16: consider,17: it,18: important","3: puzzled,13: Why,14: do,15: you,16: consider,17: it,18: important,19: to,20: put,21: ''B''<sub>''k''</sub>,22: ''before'',23: rather,24: than,25: ''after'',26: the,27: binomial,28: coefficient?",0,,,,,,,,,,,,,,,,,,,,,,,
