Num,Id,Request#,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,AVERAGE_Z_SCORE,AVERAGE_Z_SCORE_ENGLISH,AVERAGE_Z_SCORE_CHINESE
1,448758,Answered at <url>. Maybe you are not familiar with the expression?#,-10,,,,,-3,,,,-3,,,,,-7,,,,3,,,,1,,,,,,,-1,,,,,0,,,1,,2,,,,,,-2,,,,,0,,,,-1.723729893,blank,blank,blank,blank,-0.595305979,blank,blank,blank,-0.523849527,blank,blank,blank,blank,-1.530699251,blank,blank,blank,0.007685551,blank,blank,blank,-0.190265487,blank,blank,blank,blank,blank,blank,-0.710773835,blank,blank,blank,blank,-0.139704038,blank,blank,0.185169218,blank,0.208020478,blank,blank,blank,blank,blank,-0.75287687,blank,blank,blank,blank,0.159673395,blank,blank,blank,-0.467221353,-0.752419774,-0.067943563
2,367359,"Btw, ignoring the London stations it looks like your bot has <url>. Has this happened elsewhere?#",-7,,,,,-4,,,,-6,,,,,0,,,,5,,,,0,,,,,,,0,,,,,0,,,,,4,,,,,,0,,,,,4,,,,-1.245946807,blank,blank,blank,blank,-0.764010028,blank,blank,blank,-0.985423494,blank,blank,blank,blank,-0.282037103,blank,blank,blank,0.446859903,blank,blank,blank,-0.411504425,blank,blank,blank,blank,blank,blank,-0.497007268,blank,blank,blank,blank,-0.139704038,blank,blank,blank,blank,0.695587518,blank,blank,blank,blank,blank,-0.177502877,blank,blank,blank,blank,1.066908596,blank,blank,blank,-0.208525457,-0.534152746,0.3613223
3,622653,Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?#,-12,,,,,-2,,,,-7,,,,,-10,,,,-7,,,,-2,,,,,,,-3,,,,,-2,,,-12,,-1,,,,,,-2,,,,,6,,,,-2.042251951,blank,blank,blank,blank,-0.426601929,blank,blank,blank,-1.139281483,blank,blank,blank,blank,-2.065840171,blank,blank,blank,-2.18818621,blank,blank,blank,-0.853982301,blank,blank,blank,blank,blank,blank,-1.138306969,blank,blank,blank,blank,-0.641334337,blank,blank,-2.61715887,blank,-0.523330083,blank,blank,blank,blank,blank,-0.75287687,blank,blank,blank,blank,1.520526196,blank,blank,blank,-1.072385415,-1.407778716,-0.602834793
4,350825,"'Images with iconic status or historical importance: As subjects of commentary.''. Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?#",-12,,,,,-8,,,,-12,,,,,-12,,,,-6,,,,-5,,,,,,,-5,,,,,-2,,,1,,-3,,,,,,-2,,,,,-2,,,,-2.042251951,blank,blank,blank,blank,-1.438826225,blank,blank,blank,-1.908571429,blank,blank,blank,blank,-2.422600785,blank,blank,blank,-1.968599034,blank,blank,blank,-1.517699115,blank,blank,blank,blank,blank,blank,-1.565840103,blank,blank,blank,blank,-0.641334337,blank,blank,0.185169218,blank,-1.010897123,blank,blank,blank,blank,blank,-0.75287687,blank,blank,blank,blank,-0.293944205,blank,blank,blank,-1.281522663,-1.837769806,-0.502776663
5,348828,"May I also ask how CheckUser became involved in the matter? To justify such a use of computer records, surely someone needs to invoke a due process of some kind for the action to be justified?#",-11,,,,,-6,,,,-3,,,,,-4,,,,7,,,,3,,,,,,,3,,,,,8,,,0,,0,,,,,,5,,,,,5,,,,-1.882990922,blank,blank,blank,blank,-1.101418126,blank,blank,blank,-0.523849527,blank,blank,blank,blank,-0.99555833,blank,blank,blank,0.886034256,blank,blank,blank,0.252212389,blank,blank,blank,blank,blank,blank,0.144292433,blank,blank,blank,blank,1.866817156,blank,blank,-0.030394482,blank,-0.279546563,blank,blank,blank,blank,blank,1.260932106,blank,blank,blank,blank,1.293717396,blank,blank,blank,0.074187315,-0.460182547,0.822305123
6,143,"Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?#",7,,,,,8,,,,3,,,,,8,,,,10,,,,5,,,,,,,6,,,,,8,,,12,,7,,,,,,11,,,,,2,,,,0.983707597,blank,blank,blank,blank,1.260438563,blank,blank,blank,0.399298408,blank,blank,blank,blank,1.145005351,blank,blank,blank,1.544795784,blank,blank,blank,0.694690265,blank,blank,blank,blank,blank,blank,0.785592133,blank,blank,blank,blank,1.866817156,blank,blank,2.556369907,blank,1.426938079,blank,blank,blank,blank,blank,2.987054085,blank,blank,blank,blank,0.613290996,blank,blank,blank,1.355333194,0.973361157,1.890094045
7,297566,What is a wall these days? 10 sentences?#,0,,,,,-10,,,,-1,,,,,-11,,,,0,,,,0,,,,,,,0,,,,,-2,,,,,0,,,,,,-1,,,,,3,,,,-0.131119605,blank,blank,blank,blank,-1.776234323,blank,blank,blank,-0.216133549,blank,blank,blank,blank,-2.244220478,blank,blank,blank,-0.651075977,blank,blank,blank,-0.411504425,blank,blank,blank,blank,blank,blank,-0.497007268,blank,blank,blank,blank,-0.641334337,blank,blank,blank,blank,-0.279546563,blank,blank,blank,blank,blank,-0.465189873,blank,blank,blank,blank,0.840099796,blank,blank,blank,-0.588478782,-0.846756518,-0.136492744
8,550560,"I see a ""remove protection"" tab on the <url>, which tells an admin that the article is protected. Are you still able to edit it?#",4,,,,,1,,,,0,,,,,2,,,,0,,,,1,,,,,,,3,,,,,6,,,2,,1,,,,,,0,,,,,6,,,,0.50592451,blank,blank,blank,blank,0.079510218,blank,blank,blank,-0.06227556,blank,blank,blank,blank,0.074723511,blank,blank,blank,-0.651075977,blank,blank,blank,-0.190265487,blank,blank,blank,blank,blank,blank,0.144292433,blank,blank,blank,blank,1.365186857,blank,blank,0.400732917,blank,-0.035763042,blank,blank,blank,blank,blank,-0.177502877,blank,blank,blank,blank,1.520526196,blank,blank,blank,0.247834475,-0.014166622,0.61463601
9,354110,"Why delete the page <url> with no explanation, as an act of deliberate vandalism? Why did you do it?#",-12,,,,,-1,,,,-12,,,,,-12,,,,-6,,,,-2,,,,,,,-3,,,,,-2,,,-12,,-3,,,,,,-4,,,,,4,,,,-2.042251951,blank,blank,blank,blank,-0.25789788,blank,blank,blank,-1.908571429,blank,blank,blank,blank,-2.422600785,blank,blank,blank,-1.968599034,blank,blank,blank,-0.853982301,blank,blank,blank,blank,blank,blank,-1.138306969,blank,blank,blank,blank,-0.641334337,blank,blank,-2.61715887,blank,-1.010897123,blank,blank,blank,blank,blank,-1.328250863,blank,blank,blank,blank,1.066908596,blank,blank,blank,-1.260245245,-1.513172907,-0.906146519
10,622398,"Thanks a ton for looking that up for me. For the purposes of a citation, what are the page numbers for the whole article?#",9,,,,,10,,,,2,,,,,12,,,,8,,,,4,,,,,,,6,,,,,0,,,12,,6,,,,,,3,,,,,2,,,,1.302229654,blank,blank,blank,blank,1.597846662,blank,blank,blank,0.245440418,blank,blank,blank,blank,1.858526579,blank,blank,blank,1.105621432,blank,blank,blank,0.473451327,blank,blank,blank,blank,blank,blank,0.785592133,blank,blank,blank,blank,-0.139704038,blank,blank,2.556369907,blank,1.183154559,blank,blank,blank,blank,blank,0.685558113,blank,blank,blank,blank,0.613290996,blank,blank,blank,1.022281479,1.052672601,0.979733907
