Community,Num,Id,Request_format,Request,Batch
Wikipedia,1,448758,Answered at &lt;url&gt;. Maybe you are not familiar with the expression?,Answered at <url>. Maybe you are not familiar with the expression?,a
Wikipedia,2,367359,"Btw, ignoring the London stations it looks like your bot has &lt;url&gt;. Has this happened elsewhere?","Btw, ignoring the London stations it looks like your bot has <url>. Has this happened elsewhere?",a
Wikipedia,3,622653,Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?,Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?,a
Wikipedia,4,350825,"""''Images with iconic status or historical importance: As subjects of commentary.''"". Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?","""''Images with iconic status or historical importance: As subjects of commentary.''"". Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?",a
Wikipedia,5,348828,"May I also ask how CheckUser became involved in the matter? To justify such a use of computer records, surely someone needs to invoke a due process of some kind for the action to be justified?","May I also ask how CheckUser became involved in the matter? To justify such a use of computer records, surely someone needs to invoke a due process of some kind for the action to be justified?",a
Wikipedia,6,143,"Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?","Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?",a
Wikipedia,7,297566,What is a wall these days? 10 sentences?,What is a wall these days? 10 sentences?,a
Wikipedia,8,550560,"I see a ""remove protection"" tab on the &lt;url&gt;, which tells an admin that the article is protected. Are you still able to edit it?","I see a ""remove protection"" tab on the <url>, which tells an admin that the article is protected. Are you still able to edit it?",a
Wikipedia,9,354110,"Why delete the page &lt;url&gt; with no explanation, as an act of deliberate vandalism? Why did you do it?","Why delete the page <url> with no explanation, as an act of deliberate vandalism? Why did you do it?",a
Wikipedia,10,622398,"Thanks a ton for looking that up for me. For the purposes of a citation, what are the page numbers for the whole article?","Thanks a ton for looking that up for me. For the purposes of a citation, what are the page numbers for the whole article?",a
Wikipedia,11,521809,Is this okay? Or OTT?,Is this okay? Or OTT?,a
Wikipedia,12,388839,"Hi, &lt;name&gt;, I was just wondering why you did &lt;url&gt;. If in your opinion that text shouldn't be there, why not just delete it completely?","Hi, <name>, I was just wondering why you did <url>. If in your opinion that text shouldn't be there, why not just delete it completely?",a
Wikipedia,13,206259,"Also, both &lt;url&gt; and &lt;url&gt; wikilink ""hiatus"", which goes to a disambiguation page. What meaning of the word did you intend?","Also, both <url> and <url> wikilink ""hiatus"", which goes to a disambiguation page. What meaning of the word did you intend?",a
