Index,Request,ch_mean,en_mean,2nd person,HASHEDGE,HASPOSITIVE,Direct question,Factuality,SUBJUNCTIVE,HASNEGATIVE,1st person,Hedges,Deference,1st person pl.,1st person start,Gratitude,Direct start,Indirect (greeting),Please,Apologizing,INDICATIVE,2nd person start,Please start
0,Answered at <url>. Maybe you are not familiar with the expression?,-0.05805463660000001,-0.521130920625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Btw, ignoring the London stations it looks like your bot has <url>. Has this happened elsewhere?",0.32652215325,-0.3502178457499999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?,-0.4605814362,-1.5142315908749997,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"""''Images with iconic status or historical importance: As subjects of commentary.''"". Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?",-0.39751291140000006,-2.0050897021249994,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"May I also ask how CheckUser became involved in the matter? To justify such a use of computer records, surely someone needs to invoke a due process of some kind for the action to be justified?",0.7812305994,-0.10708989024999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?",1.6304790004,1.496258113125,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,What is a wall these days? 10 sentences?,-0.05849049099999998,-0.81698578975,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"I see a ""remove protection"" tab on the <url>, which tells an admin that the article is protected. Are you still able to edit it?",0.6099434922,0.18275918862499996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Why delete the page <url> with no explanation, as an act of deliberate vandalism? Why did you do it?",-0.7223774352,-1.4821603798749998,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Thanks a ton for looking that up for me. For the purposes of a citation, what are the page numbers for the whole article?",0.8614376236,1.54449559625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Is this okay? Or OTT?,-0.268650471,0.12125285014285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"Hi, <name>, I was just wondering why you did <url>. If in your opinion that text shouldn't be there, why not just delete it completely?",0.0007516779999999779,-0.25934744725,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,"Also, both <url> and <url> wikilink ""hiatus"", which goes to a disambiguation page. What meaning of the word did you intend?",-0.45513210725000003,-0.11503280837499999,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"I am puzzled by your ""fixing"" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather than ''after'' the binomial coefficient?",-0.69440018925,-0.705090019625,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"That's ""fucking consistent naming-schemers"", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?",-1.7798858726666669,-2.19074266325,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,Hey <name> I have a quick question - do you do photo requests in NOVA and/or DC?,0.04297667024999999,0.9873781701250002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,Nothing messed up from where I'm sitting. What kind of messed up?,-0.46484716925,-0.36056672574999993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"Regarding <url>, <url> says not to redlink in See also (asking people to also see something non-existing would be strange). Are you planning an article or misspelled an existing article?",-0.6070461927499999,0.21779172262500002,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"I was thinking on it, but one question: I see several articles either deleted or promoted to Featured Article after the oldid the sweeps uses. I'm assuming we simply ignore these?",0.40210963974999997,0.08620355325000005,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,That is weird. What happens if you create Usor:Rolandus?,0.120963133,0.07385742062499999,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,I think we're going to just have to agree to disagree on whether it is a sub genre or fusion then! Can we at least agree to leave the three genres on Dookie as they are?,-1.335881671,0.2290835575,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"Thanks for the redirect help! Is that something I can do myself in the future, or is that an admin thing?",1.7862217106,1.223819056625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Do You have the list of other flag bearers from other countries? And do you have a video link of the parade of nations?,-0.13604236479999998,0.17375303674999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,It is being suggested on <url> that the recent round of editing of <url> in which you were involved amounted to no more than sanitisation. Perhaps you could advise?,0.8598610577999999,0.13011916442857147,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Looking at Kotorkid's contributions on <url>, three hours seems too short for a block. Considering that their three and only edits were all vandalism, would you support an indef-block for vandalism-only account for them?",0.44802495324999997,0.058980110999999995,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"As another aside, they are mostly Germans. What's up with that?",-0.790117332,-0.49510761049999996,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?,0.2578052772,0.1949686131249999,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,US national defense for the twenty-first century: the grand exit strategy By Edward A. Olsen. did you read p 179 and 181?,-1.4429550332,-0.26083977900000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"what do you think was the purpose of this Fesselballon? if it wasn't military, what was the point in shooting it down?",-1.3188336882000002,-0.45559824074999994,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Out of curiosity what are you testing? How are things going?,-0.3331541716,1.2279543327499998,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"Ok, I'd agree about <url> being better. Should I delete the other one (you could also tag it for speedy deletion as a mistake)?",0.4852335898,0.18858418324999998,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Thanks for your support! Would you consider commenting on the <url> talk page, saying it has your support (and adding those comments for discussion)?",0.822989802,1.548196565875,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Would you like to elaborate? How are you empowering me exactly?,-0.03460755340000006,-1.2737578324999999,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"As you've noticed, I'm on a tear through general topology, which was going well, until I went to revise/merge/update <url>, when I stumbled on a very simple conceptual issue. Could you look at the talk page, and tell me what I'm doing wrong?",0.6038246268,0.4960768941249999,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"Hi. I'm not disputing your reversion of my edit, but would you please point to any other article that has a reading list that is 100% from a single author?",0.8762224831999997,-0.27949078800000005,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
35,"What are you looking for regarding reliable sources? Of the above statements, what needs to be sourced outside of the manga itself?",-0.26075943819999997,-0.06385038312499998,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"Thanks for the help! That info should be on <url> in easy to read form, no?",0.8057385534000001,0.8767711938750001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
